cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
			FRG1	LOC286297		SBF1	GJB6		FAM138A	C21orf33	AMY1B	ST14	CHAMP1		CAPZB	TSHZ1	MYO5B		DEFB4A	PTPRE	CDK7	IGF2R				DRD1		BCL2A1	FOXN3	VPS53	ARSB	MRPL49	ARHGAP1	CHRNA2	ZMYND11	GPC5	KYAT1	MIR8060		DRD5	ARG1	C1S		GSC2	ALPP	FOXA2	ACY1	IPO8	APOC3	ARHGAP1	MFAP4	ALDH1B1	
			ING2	FOXD4L3		PPP6R2	FAM230C		FAM138C	ICOSLG	AMY1C	BARX2	TMEM255B		CASP9	TXNL4A	MAPK4		SPAG11B	UTF1	CETN3	KIF25				DUSP1		NBEAP1	CHGA	NXN	ATOX1	ZNHIT2	ARL2	CHRNB3	WDR37	LMO7	ENTPD2			EVC	ATP6V1G2	C3AR1		SERPIND1	ALPPL2	INSM1	ADCY5	STK38L	ARCN1	ARNTL	MAPK7	ALDOB	
			IRF2	FOXD4L4		ZBED4	LATS2		MIR1302-2	RBM11	AMY2A	ARHGAP32	LINC00452		RUNX3	ADNP2	RAB27B		AGPAT5	GLRX3	CHD1	LPA				F12		BNIP2	CKB	FAM57A	ALDH7A1	MPPED2	ARNTL	CLU	DIP2C	NEK3	CDK9			FGFR3	ADGRB3	CCND2		PI4KA	AOX1	NKX2-2	ADPRH	FGFR1OP2	ATM	ART1	MAP2K3	AMBP	
			KLKB1	AQP7P1		SCO2	CRYL1		MIR1302-9	CYP4F29P	AMY2B	ADAMTS8	GAS6-AS1		TNFRSF8	KCNG2	RIT2		CSMD1	DPYSL4	CKMT2	MAS1				FGFR4		BUB1B	CRIP1	RFLNB	BHMT	MYRF	ART1	ADAM3A	LARP4B	PCDH8	CEL			GAK	BAK1	CD4		SEPT5	ATIC	PAX1	AGTR1	YARS2	FXYD2	ASCL2	PRPSAP2	ANXA1	
			MTNR1A	FGF7P6		RABL2B	IL17D		MIR1302-10	SMIM11A	RHOC	IGSF9B	LINC00552		CDA	SALL3	RPL17		MCPH1	TUBGCP2	ERCC8	MAP3K4				FOXI1		CA12	CRIP2	C17orf97	BTF3	TMEM258	ASCL2	DPYSL2	GTPBP4	PCDH9	CELP			GRK4	BCKDHB	CD9		PRODH	KIF1A	PCSK2	AHSG	ERGIC2	CXCR5	BDNF	SHMT1	ANXA2P2	
			TLR3	SPATA31A6		MLC1	MPHOSPH8		MIR1302-11	SAMSN1	ATP1A1	NCAPD3	GAS6-AS2		CDC42	TIMM21	SLC14A1		DEFB104A	VENTX	COX7C	AFDN				FLT4		CAPN3	DIO2	SCGB1C2	CAMK4	DAGLA	BAD	DUSP4	IDI2-AS1	POU4F1	COL5A1			HTT	CFB	CD27		RANBP1	BARD1	PYGB	ALAS1	TM7SF3	CASP1	MPPED2	SREBF1	NUDT2	
			SORBS2	GLIDR		MAPK8IP2	PSPC1			BAGE4	ATP5F1	ACAD8	MIR4502		CD52	ZNF407	SYT4		SGK223	CALY	CRHBP	NMBR				GABRP		CHRM5	DIO3	DBIL5P	CAMK2A	CAPN1	BDNF	EGR3	AKR1E2	DNAJC3	CRAT			HGFAC	PRDM1	CD69		SLC7A4	BCS1L	RRBP1	ALCAM	KIAA1551	CASP4	CALCA	TOP3A	APBA1	
			FAM149A	FAM74A1		PLXNB2	XPO4			BAGE3	CAPZA1	B3GAT1	MIR548AR		RCC1	CNDP2	SLC14A2		DEFT1P	CFAP46	HAPLN1	OPRM1				GRK6		CHRNA3	DYNC1H1	MIR3183	CAMLG	CAT	SERPING1	EIF4EBP1	IDI2	ATXN8OS	DBH			HMX1	BMP5	CDKN1B		SLC25A1	BMPR2	SNRPB2	AMT	CCDC91	CASP5	CALCB	RNF112	AQP3	
			PDLIM3	FAM74A4		BRD1	MRPL57			BAGE2	CASQ2	ZBTB44	LINC00565		CLCN6	RBFA	MBD2		DEFB105A	PPP2R2D	VCAN	PARK2				GRM6		CHRNA5	EIF5	LOC100506371	CAST	CD5	VPS51	DMTN	LINC00700	UCHL3	SARDH			IDUA	DST	CHD4		TBX1	BOK	SSTR4	APEH	FAR2	CBL	CARS	COPS3	AQP7	
			CLDN22	ZNF658B		FAM19A5	TPTE2			LINC00313	CD2	THYN1	LINC00454		CLCNKA	PQLC1	PSTPIP2		DEFB106A	LRRC27	DHFR	PCMT1				HK3		CHRNA7	ELK2AP	LOC100506388	CCNB1	CD6	MRPL49	EPHX2	LINC00705	SCEL	DNM1			LETM1	BYSL	CREBL2		CLDN5	CASP8	THBD	APOD	ASUN	CD3D	CAT	TMEM11	ASS1	
			UFSP2	LOC403323		NCAPH2	EEF1AKMT1			ANKRD30BP2	CD53	NTM	LINC01054		CLCNKB	NETO1	PIAS2		DEFB107A	ADGRA1	F2R	PDCD2				HMMR		CHRNB4	EML1	LOC101927727	CCNG1	MS4A1	ZNHIT2	EXTL3	TUBB8	CLDN10	TOR1A			LRPAP1	C2	ATN1		HIRA	CASP10	ZNF133	ARF4	ARNTL2	CD3E	CCKBR	ULK2	AUH	
			CDKN2AIP	LOC440896		MOV10L1	SKA3			LIPI	CD58	PRDM10			CNR2	PARD6G	LIPG		DEFB109P1	NKX6-2	F2RL1	PLAGL1				HNRNPAB		CKMT1B	GALC	LOC105371430	CCNH	MS4A3	MPPED2	PTK2B	AKR1C6P	UTP14C	ENDOG			MSX1	C4A	PHC1		UBE2L3	CD28	CST7	RHOA	KLHL42	CD3G	CD44	PEMT	BAAT	
			TENM3	ANKRD20A3		MIOX	ZDHHC20			ABCC13	CHI3L2	TP53AIP1			COL16A1	CNDP1	CTIF		FAM86B3P	KNDC1	F2RL2	PLG				HNRNPH1		CLK3	GTF2A1		CD14	CD44	MYRF	FGFR1	LINC00200	TBC1D4	ENG			MYL5	C4B	EMP1		UFD1L	CHRND	GINS1	ATP1B3	FAM60A	CHEK1	CD59	FBXW10	BAG1	
			LRP2BP	ANKRD20A2		PANX2	ANKRD20A9P			SIK1	CNN3	JAM3			CORT	FAM69C	ACAA2		LINC00965	MTG1	FOXD1	PSMB1				HRH2		CRABP1	BRF1		CD74	CD59	TMEM258	FNTA	LINC00701	GPC6	FCN1			PDE6B	DDR1	ENO2		ZNF74	CHRNG	CST8	ATP2B2	MRPS35	CRYAB	CD81	RAI1	KLF9	
			STOX2	AQP7P3		ALG12	LINC00442			LINC00319	COL11A1	GLB1L2			DDOST	CBLN2	POLI		XKR5	SYCE1	GLRX	RPS6KA2				KCNMB1		CSK	HSP90AA1		CDC25C	CFL1	DAGLA	ADAM2	PRR26	SPRY2	FCN2			PPP2R2C	RUNX2	EPS8		DGCR6	CLK1	SEC23B	ATP6V1A	CAPRIN2	DDX6	CD151	GRAP	C5	
			CFAP97	PTGER4P2-CDK2AP2P2		CRELD2	MIPEPP3			POTED	CSF1	VPS26B			DFFA	FBXO15	SETBP1		USP17L8	PRAP1	GTF2H2	SLC22A1				LCP2		CSPG4	IFI27		CDK7	CHRM1	CALCA	GFRA2	ADARB2-AS1	ABCC4	FPGS			RGS12	CCNC	ETV6		LZTR1	COL3A1	POLR3F	ATR	FLJ13224	DDX10	CDKN1C	AKAP10	CA9	
			TRAPPC11	CBWD3		ADM2	ANKRD26P3			LOC388813	DBT	GLB1L3			E2F2	LOC284241	SNORD58B		USP17L1	ZNF511	GZMA	SLC22A3				LTC4S		CTSH	ITPK1		CDO1	CHRM4	CALCB	GNRH1	LINC00704	PIBF1	FUT7			RNF4	CCND3	FGF6		CLTCL1	COL4A3	RBBP9	BCHE	TMTC1	DLAT	CHRM4	EPN2	CCIN	
			CENPU	LOC554249		TRABD	LINC00421			ANKRD20A11P	DPYD	TMEM45B			ECE1	ZADH2	SNORD58A		DEFB103A	CTAGE7P	GZMK	SLC22A2				MGAT1		CYP1A1	JAG2		CDX1	CNTF	CAPN1	GSR	PITRM1-AS1	OLFM4	GLE1			S100P	CDC5L	FKBP4		DGCR14	COL4A4	DSTN	BCL6	ALG10	DPAGT1	TPP1	MPRIP	KYAT1	
			WWC2	PGM5-AS1		SELO	MIR4499			MGC39584	S1PR1	ADAMTS15			EPHA2	SMIM21	ST8SIA5		FAM90A7P	CLRN3	HEXB	SOD2				MSX2		CYP1A2	KLC1		CETN3	COX8A	CARS	GTF2E2	LINC00703	SUGT1	GOLGA2			SH3BP2	CDKN1A	FOXM1		CDC45	COL5A2	XRN2	BDH1	FGD4	DRD2	CNGA4	USP22	TNFSF8	
			SNX25	PGM5P2		HDAC10	LINC00408			MIR663A	CELSR2	C11orf45			ENO1	LINC00908	CXXC1		FAM90A10P	C10orf91	HMGCR	T				NPM1		CYP11A1	MARK3		CHD1	CRY2	CAT	NRG1	LINC00702	LECT1	RAPGEF1			WFS1	CDSN	GAPDH		P2RX6	COL6A3	CD93	FOXL2	ALG10B	ETS1	COPB1	DHRS7B	CD72	
			LOC90768	FRG1JP		SHANK3	LINC00539			RNA5-8S5	EXTL2	SPATA19			EPB41	LOC339298	IER3IP1		DEFA8P	PWWP2B	HTR1A	TBP				MAPK9		CYP19A1	ATXN3		CKMT2	CSTF3	CCKBR	IKBKB	MIR5699	SOX21	GRIN1			WHSC1	CGA	GNB3		SNAP29	CPS1	NINL	BTD	CPNE8	FDX1	CRY2	SNORD3B-1	CDK9	
			ZFP42	LOC642929		TUBGCP6	LINC00350			RNA18S5	F3	C11orf44			EPHA8	ATP9B	TCEB3B		DEFA9P	PAOX	IL6ST	TCP1				PROP1		DUT	NDUFB1		AP3S1	CTNND1	CD5	IDO1	LOC101927762	KLF12	LCN1			NELFA	CLIC1	GPR19		DGCR2	CREB1	FLRT3	ERC2-IT1	DENND5B	FLI1	CSTF3	B9D1	CDKN2A	
			ENPP6	LINC01189		LMF2	LINC00417			RNA28S5	GCLM	MIR4697HG			EPHB2	LOC400655	MEX3C		DEFA10P	EBF3	ISL1	TCP10				RARS		EPB42	SERPINA5		COX7C	CTSW	CD6	LOXL2	LOC101927964	DZIP1	LCN2			ZNF141	CLPS	GRIN2B		TXNRD2	CRYBA2	CFAP61	CACNA1D	AMN1	FUT4	CTSD	TVP23B	CDKN2B	
			WWC2-AS2	CNTNAP3P2		KLHDC7B	LOC101928697			TEKT4P2	GNAI3	LOC283177			EXTL1	LINC00909	DYM		DEFB109P1B	TCERG1L	ITGA1	TCTE3				SLC34A1		ETFA	SERPINA1		CRHBP	DDB1	MS4A1	LPL	MIR6078	DIS3	NOTCH1			SLBP	CNR1	GUCY2C		USP18	CRYGA	ABHD12	SLC25A20	ETFBKMT	SLC37A4	DDB2	MYO15A	CEL	
			RWDD4	CBWD6		LOC284930	LINC00367			MIR3118-1	GNAT2	SNX19			EYA3	C18orf65	ELAC1		USP17L4	FUOM	ITGA2	DYNLT1				SLIT3		FAH	SERPINA4		HAPLN1	DDB2	MS4A3	NEFM	MIR7641-2	MYCBP2	ODF2			ACOX3	COL9A1	KCNA1		HIC2	CRYGB	ZNF337	CAMP	SMCO2	GRIA4	DRD4	RASD1	CELP	
			PRIMPOL	FLJ43315		LOC284933	LINC01046			MIR3156-3	GSTM1	LINC00167			FABP3	LINC00683	EPG5		USP17L3	JAKMIP3	KIF2A	THBS2				SNCB		FBN1	PPP2R5C		CSF1R	EEF1G	CD44	NEFL	MIR6072	TGDS	PAEP			CPZ	COL10A1	KCNA5		TSSK2	CRYGC	SNX5	CASR	OVCH1	GRIK4	DUSP8	ALKBH5	CKS2	
			TRIML2	SPATA31A1		RPL23AP82	LINC01072			MIR3687-1	GSTM2	LOC646522			FGR	LOC400661	CCDC68		SPAG11A	STK32C	TNPO1	UTRN				STK10		FGF7	LGMN		CSF2	ELF5	CD59	NKX3-1	LOC102723376	SLITRK5	PTPA			NOP14	COL11A2	KCNA6		SDF2L1	CRYGD	LINC00652	CAV3	SYT10	GUCY1A2	EIF4G2	MED9	CLTA	
			CCDC110	FOXD4L6		C22orf34				MIR3648-1	GSTM3	LOC100128239			MTOR	HSBP1L1	KATNAL2		DEFA11P	LINC00959	LNPEP	EZR				ZNF354A		GABPB1	PSMC1		CSNK1A1	MARK2	CD81	PLAT	LOC105376351	FBXL3	PTGDS			FAM193A	COL12A1	KLRB1		PPIL2	CTLA4	NXT1	CBLB	REP15	H2AFX	ELF5	SLC47A1	CNTFR	
			CYP4V2	FOXD4L5		CHKB-CPT1B				LOC100507412	GSTM4	SENCR			FUCA1	C18orf63	MRO		DEFA1B	FOXI2	CD180	VIP				STC2		GABRA5	MOK		CSNK1G3	ESRRA	CD151	PNOC	LOC105376360	INTS6	RALGDS			RAB28	COL19A1	KLRC1		IL17RA	CYP27A1	VSX1	CCK	H3F3C	HMBS	EXT2	NT5M	COL5A1	
			F11-AS1	FGF7P3		LINC00898				RNA45S5	GSTM5	LOC100507431			IFI6	PARD6G-AS1	HDHD2		FAM66B	LINC01164	MAP1B	EPM2A				FGF18		GABRB3	SEL1L		VCAN	EXT2	CDKN1C	POLB	LOC105376365	CKAP2	RPL7A			KIAA0232	COX7A2	KLRC2		ANKRD62P1-PARP4P3	DES	NAA20	CD80	TSPAN11	HSPA8	F2	GID4	COL15A1	
			LINC01098	SPATA31A3		IL17REL				SAMSN1-AS1	IGSF3	LOC100507548			GALE	LOC100131655	HAUS1		PRR23D1	LINC01168	MEF2C	PEX3				SQSTM1		GABRG3	TNFAIP2		CTNNA1	F2	CFL1	PPP2CB	SNORD142	PCDH17	RPL12			WDR1	ATF6B	KLRC3		POTEH	DTYMK	CRNKL1	CD86	LOC645485	HSPB2	FANCF	FAM106A	SLC31A1	
			LOC339975	SPATA31A5		DENND6B				C21orf140	KCNA2	MIR4697			SFN	LINC01541	LOXHD1		ZNF705G	SPRNP1	MAP3K1	RNASET2				ATP6V0E1		GALK2	TRAF3		DMXL1	FAU	CHRM1	PPP2R2A		VPS36	RXRA			HS3ST1	MAPK14	KLRD1		BCL2L13	EEF1B2	RIN2	ENTPD3	C12orf71	HTR3A	FOLH1	DRC3	SLC31A2	
			TRIML1	FAM74A3		PIM3				MIR6724-1	KCNA3	NTM-IT			GPR3	LOC100505797	STARD6		FAM66E	FRG2B	MOCS2	STX11				PDLIM7		GANC	TSHR		DHFR	MS4A2	CHRM4	PPP3CC		NDFIP2	SET			LINC01587	CSNK2B	LAG3		DGCR11	EPHA4	DZANK1	CD47	MANSC4	IL10RA	FSHB	ATPAF2	CRAT	
			ANKRD37	CNTNAP3B		ODF3B				MIR8069-1	KCNA10	LOC101929517			HCRTR1	LOC100505817	C18orf25		ZNF705B	SPRN	MSH3	SYNJ2				ADAMTS2		GATM	VRK1		DIAPH1	FEN1	TPP1	SFRP1		UGGT2	SNAPC4			MFSD10	CTGF	LRP6		DGCR9	ERBB4	KIF16B	CDC25A	LINC00941	IL18	GAS2	SPECC1	CTSL	
			LOC389247	LOC728673		SYCE3				LOC102723360	KCNC4	LOC101929538			HDAC1	LOC100505853	C18orf54		PRR23D2	MIR202	NAIP	LATS1				MAML1		GCHFR	WARS		DPYSL3	FKBP2	CNGA4	SFTPC		THSD1	SPTAN1			MAEA	CYP21A2	LTBR		DGCR5	ACSL3	KIZ	CISH	LOC100506606	STT3A	GTF2H1	MIEF2	CTSV	
			HELT	ANKRD20A4		LINC01310				KCNE1B	KCND3	LINC01395			HMGN2	RBFADN	TCEB3C		LOC100287015	NPS	NDUFS4	QKI				GFPT2		PDIA3	XRCC3		SLC26A2	FOLH1	CNTF	SLC18A1		KLHL1	STXBP1			PCGF3	CYP21A1P	M6PR		DGCR10	FN1	OTOR	AP2M1	DDX11-AS1	KCNJ1	HBB	SLC5A10	CTSLP8	
			LINC01060	FAM27E3		CHKB-AS1				SMIM11B	MOV10	NTM-AS1			HMGCL	MIR548AV	ZBTB7C		DEFB4B	SCART1	PCSK1	WTAP				RACK1		GTF2A2	YY1		HBEGF	FSHB	COPB1	SLC20A2		RBM26	SURF1			SPON2	DAXX	MGP		TRMT2A	FRZB	APMAP	CLCN2	DENND5B-AS1	KCNJ5	HBBP1	SMCR5	CYLC2	
			FAM92A1P2	LOC100132249		MIR3201				LOC102724188	NGF	LOC101929653			HSPG2	LOC101927606	SKA1		MIR548I3	ADGRA1-AS1	PDE4D	AKAP12				RGS14		HDC	GPR68		EBF1	FTH1	COX8A	STAR		PCDH20	SURF2			TACC3	DNAH8	MGST1		HSFY1P1	GBX2	RALGAPA2	CCR1	OVCH1-AS1	VWA5A	HBD	SMCR8	DAPK1	
			C4orf47	FRG1HP		MIR3667				LOC102724219	NHLH2	MIR6090			HTR1D	LOC101927651	CFAP53		MCPH1-AS1	DUX4	PIK3R1	PHACTR2				CPLX2		HEXA	TCL1A		EFNA5	GIF	CRY2	STC1		RNF219	SURF4			MXD4	DXO	NDUFA9		CECR6	MSTN	KAT14	CCR3	ARNTL2-AS1	MCAM	HBE1	TOM1L2	BRINP1	
			FRG2	GXYLT1P3		MIR4535				LOC102724354	NRAS	MIR8052			HTR6	LINC01029	DYNAP		MIR4659A	MIR378C	PMCHL2	UST				BTNL3		ONECUT1	GPR65		EGR1	GNG3	CSTF3	TACC1		DHRS12	MED22			CPLX1	EEF1A1	NOP2		CECR5	GLS	SLC24A3	CCR4	LOC105369723	KMT2A	HBG1	SLC47A2	DBH	
			SLED1	FAM27C		LL22NC03-75H12.2				LOC102724428	OVGP1	LOC103611081			ID3	LOC101927989	LINC00907		MIR4659B	MIR4297	RAD17	PDE10A				LMAN2		IDH3A	ADAM6		ETF1	DNAJC4	CTNND1	VDAC3		BORA	SURF6			SLC26A1	SLC29A1	NTF3		CECR3	GPC1	OVOL2	CCR5		MMP1	HBG2	TRIM16L	SARDH	
			FLJ38576	FAM95B1		MIR6821				U2AF1L5	PSMA5				TNFRSF9	LOC102724913	SIGLEC15		GS1-24F4.2	MIR3944	RASA1	RAB32				MGAT4B		IL16	DLK1		F2R	INCENP	CTSD	WRN		TDRD3	TRAF2			MAN2B2	EPB41L2	OLR1		CECR2	GPR1	NAPB	CCR8		MMP3	HPX	FLCN	DNM1	
			LINC00290	FAM27B		LOC105373100				LOC102724652	PTGFRN				STMN1		RNF165		LOC101927815	LINC01163	RASGRF2	KATNA1				B4GALT7		IPW	CCNK		F2RL1	CD82	CTSW	FZD3		DIAPH3	TSC1			NSG1	EPHA7	PDE6H		POM121L8P	GPR35	GZF1	ACKR2		MMP7	HRAS	PLD6	ECM2	
			LOC728175	FAM27E2						LOC102724843	ABCD3				LCK		C18orf32		MIR8055	TCERG1L-AS1	RPS23	FGFR1OP				RNF44		IREB2	MTA1		F2RL2	KCNA4	DDB1	UBXN8		CCDC70	TTF1			GPR78	EYA4	PIK3C2G		YPEL1	HDLBP	SYNDIG1	COL7A1		MMP8	IGF2	USP32P2	TOR1A	
			MIR3945HG	MIR1299						MIR6724-2	RAP1A				MATN1		SKOR2			LINC01166	SMN1	SCAF8				TBC1D9B		ISLR	RPS6KA5		FABP6	FADS1	DDB2	KAT6A		SLITRK6	VAV2			STX18	ESR1	PRB1		ZDHHC8	AGFG1	ACSS1	COL8A1		MMP10	ILK	TBC1D28	LPAR1	
			CLDN24	MIR4477A						MIR6724-3	SORT1				MFAP2		SCARNA17			MIR202HG	SMN2	TAB2				N4BP3		ITPKA	TRIP11		FAT2	FADS3	DRD4	ADAM18		SLITRK1	ZNF79			FGFRL1	FABP7	PRB3		MED15	DNAJB2	GGTLC1	CP		MMP12	INS	CDRT15L2	S1PR3	
			DUX4	FAM74A7						LOC105372833	SARS				MTHFR		SNORA37			LINC01167	TAF9	SASH1				FAF2		IVD	NRXN3		FBN2	LMO2	DUSP8	ADAM9		KCTD12	BRD3			CYTL1	FANCE	PRB4		TUBA8	HSPD1	MGME1	CPA3		MMP13	IRF7	NATD1	MEGF9	
			MIR1305	LOC101927827						LOC105379511	SLC16A1				NBL1		TCEB3CL			AS-PTPRE	TBCA	SYNE1				WWC1		LIPC	BAG5		FER	LRP4	EEF1G	ADAM7		WDFY2	NUP214			SH3TC1	FKBP5	PRH1		CECR1	HSPE1	DTD1	CPB1		MRE11A	CD82	CCDC144B	ELAVL2	
			DBET	LOC101928195						LOC105379514	STXBP3				NPPA		SNORD58C				NR2F1	MTHFD1L				FBXW11		LOXL1	C14orf2		FGF1	LTBP3	EIF4G2	TNFRSF10D		SLAIN1	LHX3			NKX1-1	FOXO3	PRH2		DGCR8	HTR2B	CSTL1	CPN2		MTNR1B	KCNA4	FAM27E5	ENDOG	
